country;year;purchases_1_or_2_times;purchases_3_to_5_times;purchases_6_to_10_times;purchases_more_than_10_times
Poland;2015;11;8;4;1
Poland;2016;13;11;5;1
Poland;2017;14;12;5;2
Poland;2018;14;14;6;3
Poland;2019;16;16;7;3
Poland;2020;15;18;8;5
Poland;2021;15;17;10;6
Portugal;2015;10;8;3;2
Portugal;2016;10;9;3;1
Portugal;2017;11;9;4;2
Portugal;2018;16;8;2;1
Portugal;2019;14;9;2;2
Portugal;2020;11;13;6;5
Portugal;2021;13;15;7;6
Romania;2015;5;2;1;0
Romania;2016;5;2;0;0
Romania;2017;8;3;0;0
Romania;2018;9;4;0;0
Romania;2019;10;4;1;0
Romania;2020;12;8;1;0
Romania;2021;11;9;2;1
Serbia;2015;11;3;1;1
Serbia;2016;;;;
Serbia;2017;12;7;1;1
Serbia;2018;13;6;2;1
Serbia;2019;14;8;3;2
Serbia;2020;15;10;3;1
Serbia;2021;23;11;2;0
Slovakia;2015;16;13;3;2
Slovakia;2016;19;16;4;2
Slovakia;2017;22;17;5;2
Slovakia;2018;17;19;5;3
Slovakia;2019;19;19;6;3
Slovakia;2020;20;16;9;2
Slovakia;2021;31;23;8;7
Slovenia;2015;15;9;3;1
Slovenia;2016;13;11;4;2
Slovenia;2017;16;12;4;2
Slovenia;2018;20;13;4;3
Slovenia;2019;23;15;4;3
Slovenia;2020;26;16;5;4
Slovenia;2021;24;20;7;7
Spain;2015;15;11;4;3
Spain;2016;15;12;4;4
Spain;2017;19;13;4;4
Spain;2018;19;15;5;5
Spain;2019;21;15;6;4
Spain;2020;23;16;7;8
Spain;2021;23;17;7;8
Sweden;2015;15;22;10;8
Sweden;2016;22;23;10;6
Sweden;2017;20;24;11;12
Sweden;2018;18;26;11;8
Sweden;2019;19;27;11;12
Sweden;2020;19;28;13;11
Sweden;2021;20;27;15;15
Switzerland;2015;;;;
Switzerland;2016;;;;
Switzerland;2017;28;26;10;8
Switzerland;2018;;;;
Switzerland;2019;27;27;10;10
Switzerland;2020;;;;
Switzerland;2021;25;24;12;10
Turkey;2015;;;;
Turkey;2016;7;4;1;1
